membernumber	newspaper	stcntyfp	cnty	state	dailycirc
100050	THE STAR, ANNISTON	1015	Calhoun County	AL	19389
100050	THE STAR, ANNISTON	1019	Cherokee County	AL	206
100050	THE STAR, ANNISTON	1027	Clay County	AL	1210
100050	THE STAR, ANNISTON	1029	Cleburne County	AL	1454
100050	THE STAR, ANNISTON	1055	Etowah County	AL	120
100050	THE STAR, ANNISTON	1111	Randolph County	AL	1308
100050	THE STAR, ANNISTON	1121	Talladega County	AL	1680
100070	THE NEWS -COURIER	1077	Lauderdale County	AL	136
100070	THE NEWS -COURIER	1083	Limestone County	AL	6561
100070	THE NEWS -COURIER	1089	Madison County	AL	306
100100	THE BIRMINGHAM NEWS/POST HERALD	1001	Autauga County	AL	213
100100	THE BIRMINGHAM NEWS/POST HERALD	1007	Bibb County	AL	633
100100	THE BIRMINGHAM NEWS/POST HERALD	1009	Blount County	AL	3367
100100	THE BIRMINGHAM NEWS/POST HERALD	1015	Calhoun County	AL	1248
100100	THE BIRMINGHAM NEWS/POST HERALD	1021	Chilton County	AL	1414
100100	THE BIRMINGHAM NEWS/POST HERALD	1027	Clay County	AL	284
100100	THE BIRMINGHAM NEWS/POST HERALD	1037	Coosa County	AL	148
100100	THE BIRMINGHAM NEWS/POST HERALD	1043	Cullman County	AL	1797
100100	THE BIRMINGHAM NEWS/POST HERALD	1047	Dallas County	AL	605
100100	THE BIRMINGHAM NEWS/POST HERALD	1049	DeKalb County	AL	314
100100	THE BIRMINGHAM NEWS/POST HERALD	1055	Etowah County	AL	1590
100100	THE BIRMINGHAM NEWS/POST HERALD	1059	Franklin County	AL	524
100100	THE BIRMINGHAM NEWS/POST HERALD	1065	Hale County	AL	436
100100	THE BIRMINGHAM NEWS/POST HERALD	1073	Jefferson County	AL	101958
100100	THE BIRMINGHAM NEWS/POST HERALD	1075	Lamar County	AL	214
100100	THE BIRMINGHAM NEWS/POST HERALD	1081	Lee County	AL	855
100100	THE BIRMINGHAM NEWS/POST HERALD	1089	Madison County	AL	669
100100	THE BIRMINGHAM NEWS/POST HERALD	1093	Marion County	AL	1200
100100	THE BIRMINGHAM NEWS/POST HERALD	1095	Marshall County	AL	657
100100	THE BIRMINGHAM NEWS/POST HERALD	1101	Montgomery County	AL	804
100100	THE BIRMINGHAM NEWS/POST HERALD	1103	Morgan County	AL	908
100100	THE BIRMINGHAM NEWS/POST HERALD	1111	Randolph County	AL	406
100100	THE BIRMINGHAM NEWS/POST HERALD	1115	St. Clair County	AL	5924
100100	THE BIRMINGHAM NEWS/POST HERALD	1117	Shelby County	AL	18958
100100	THE BIRMINGHAM NEWS/POST HERALD	1121	Talladega County	AL	2421
100100	THE BIRMINGHAM NEWS/POST HERALD	1123	Tallapoosa County	AL	1214
100100	THE BIRMINGHAM NEWS/POST HERALD	1125	Tuscaloosa County	AL	1749
100100	THE BIRMINGHAM NEWS/POST HERALD	1127	Walker County	AL	3273
100100	THE BIRMINGHAM NEWS/POST HERALD	1133	Winston County	AL	392
100101	THE BIRMINGHAM NEWS	1001	Autauga County	AL	213
100101	THE BIRMINGHAM NEWS	1007	Bibb County	AL	633
100101	THE BIRMINGHAM NEWS	1009	Blount County	AL	3367
100101	THE BIRMINGHAM NEWS	1015	Calhoun County	AL	1248
100101	THE BIRMINGHAM NEWS	1021	Chilton County	AL	1414
100101	THE BIRMINGHAM NEWS	1027	Clay County	AL	284
100101	THE BIRMINGHAM NEWS	1029	Cleburne County	AL	70
100101	THE BIRMINGHAM NEWS	1037	Coosa County	AL	148
100101	THE BIRMINGHAM NEWS	1043	Cullman County	AL	1797
100101	THE BIRMINGHAM NEWS	1047	Dallas County	AL	605
100101	THE BIRMINGHAM NEWS	1049	DeKalb County	AL	314
100101	THE BIRMINGHAM NEWS	1055	Etowah County	AL	1590
100101	THE BIRMINGHAM NEWS	1059	Franklin County	AL	524
100101	THE BIRMINGHAM NEWS	1065	Hale County	AL	436
100101	THE BIRMINGHAM NEWS	1073	Jefferson County	AL	95520
100101	THE BIRMINGHAM NEWS	1075	Lamar County	AL	214
100101	THE BIRMINGHAM NEWS	1081	Lee County	AL	855
100101	THE BIRMINGHAM NEWS	1089	Madison County	AL	669
100101	THE BIRMINGHAM NEWS	1093	Marion County	AL	1200
100101	THE BIRMINGHAM NEWS	1095	Marshall County	AL	657
100101	THE BIRMINGHAM NEWS	1097	Mobile County	AL	10
100101	THE BIRMINGHAM NEWS	1101	Montgomery County	AL	739
100101	THE BIRMINGHAM NEWS	1103	Morgan County	AL	908
100101	THE BIRMINGHAM NEWS	1107	Pickens County	AL	98
100101	THE BIRMINGHAM NEWS	1111	Randolph County	AL	406
100101	THE BIRMINGHAM NEWS	1115	St. Clair County	AL	4766
100101	THE BIRMINGHAM NEWS	1117	Shelby County	AL	18958
100101	THE BIRMINGHAM NEWS	1119	Sumter County	AL	54
100101	THE BIRMINGHAM NEWS	1121	Talladega County	AL	2421
100101	THE BIRMINGHAM NEWS	1123	Tallapoosa County	AL	1214
100101	THE BIRMINGHAM NEWS	1125	Tuscaloosa County	AL	1749
100101	THE BIRMINGHAM NEWS	1127	Walker County	AL	3273
100101	THE BIRMINGHAM NEWS	1133	Winston County	AL	392
100102	BIRMINGHAM POST HERALD	1073	Jefferson County	AL	6438
100102	BIRMINGHAM POST HERALD	1117	Shelby County	AL	1158
100130	THE CULLMAN TIMES	1043	Cullman County	AL	10141
100130	THE CULLMAN TIMES	1103	Morgan County	AL	199
100130	THE CULLMAN TIMES	1133	Winston County	AL	223
100150	THE DECATUR DAILY	1043	Cullman County	AL	146
100150	THE DECATUR DAILY	1079	Lawrence County	AL	3413
100150	THE DECATUR DAILY	1083	Limestone County	AL	1904
100150	THE DECATUR DAILY	1103	Morgan County	AL	18050
100150	THE DECATUR DAILY	1133	Winston County	AL	166
100200	DOTHAN EAGLE	1005	Barbour County	AL	991
100200	DOTHAN EAGLE	1031	Coffee County	AL	4216
100200	DOTHAN EAGLE	1039	Covington County	AL	343
100200	DOTHAN EAGLE	1045	Dale County	AL	5016
100200	DOTHAN EAGLE	1061	Geneva County	AL	2602
100200	DOTHAN EAGLE	1067	Henry County	AL	2755
100200	DOTHAN EAGLE	1069	Houston County	AL	16130
100200	DOTHAN EAGLE	1109	Pike County	AL	490
100200	DOTHAN EAGLE	12059	Holmes County	FL	145
100200	DOTHAN EAGLE	12063	Jackson County	FL	471
100250	FLORENCE TIMES DAILY	1033	Colbert County	AL	9404
100250	FLORENCE TIMES DAILY	1059	Franklin County	AL	3439
100250	FLORENCE TIMES DAILY	1077	Lauderdale County	AL	15935
100250	FLORENCE TIMES DAILY	1079	Lawrence County	AL	417
100250	FLORENCE TIMES DAILY	1093	Marion County	AL	197
100250	FLORENCE TIMES DAILY	1133	Winston County	AL	321
100250	FLORENCE TIMES DAILY	47099	Lawrence County	TN	539
100250	FLORENCE TIMES DAILY	47181	Wayne County	TN	373
100300	THE GADSDEN TIMES	1015	Calhoun County	AL	393
100300	THE GADSDEN TIMES	1019	Cherokee County	AL	1256
100300	THE GADSDEN TIMES	1049	DeKalb County	AL	1339
100300	THE GADSDEN TIMES	1055	Etowah County	AL	17202
100300	THE GADSDEN TIMES	1095	Marshall County	AL	1679
100300	THE GADSDEN TIMES	1115	St. Clair County	AL	350
100350	THE HUNTSVILLE TIMES	1049	DeKalb County	AL	269
100350	THE HUNTSVILLE TIMES	1071	Jackson County	AL	2541
100350	THE HUNTSVILLE TIMES	1083	Limestone County	AL	1933
100350	THE HUNTSVILLE TIMES	1089	Madison County	AL	44510
100350	THE HUNTSVILLE TIMES	1095	Marshall County	AL	3665
100350	THE HUNTSVILLE TIMES	1103	Morgan County	AL	1393
100350	THE HUNTSVILLE TIMES	47051	Franklin County	TN	235
100350	THE HUNTSVILLE TIMES	47055	Giles County	TN	74
100350	THE HUNTSVILLE TIMES	47103	Lincoln County	TN	729
100370	JASPER DAILY MOUNTAIN EAGLE	1057	Fayette County	AL	106
100370	JASPER DAILY MOUNTAIN EAGLE	1127	Walker County	AL	10827
100370	JASPER DAILY MOUNTAIN EAGLE	1133	Winston County	AL	427
100400	MOBILE REGISTER (MORNING & SUNDAY)	1003	Baldwin County	AL	23477
100400	MOBILE REGISTER (MORNING & SUNDAY)	1023	Choctaw County	AL	685
100400	MOBILE REGISTER (MORNING & SUNDAY)	1025	Clarke County	AL	2455
100400	MOBILE REGISTER (MORNING & SUNDAY)	1035	Conecuh County	AL	832
100400	MOBILE REGISTER (MORNING & SUNDAY)	1039	Covington County	AL	208
100400	MOBILE REGISTER (MORNING & SUNDAY)	1053	Escambia County	AL	2287
100400	MOBILE REGISTER (MORNING & SUNDAY)	1091	Marengo County	AL	167
100400	MOBILE REGISTER (MORNING & SUNDAY)	1097	Mobile County	AL	62515
100400	MOBILE REGISTER (MORNING & SUNDAY)	1099	Monroe County	AL	1430
100400	MOBILE REGISTER (MORNING & SUNDAY)	1129	Washington County	AL	1341
100400	MOBILE REGISTER (MORNING & SUNDAY)	1131	Wilcox County	AL	301
100400	MOBILE REGISTER (MORNING & SUNDAY)	12033	Escambia County	FL	214
100400	MOBILE REGISTER (MORNING & SUNDAY)	28039	George County	MS	365
100400	MOBILE REGISTER (MORNING & SUNDAY)	28041	Greene County	MS	159
100400	MOBILE REGISTER (MORNING & SUNDAY)	28059	Jackson County	MS	636
100400	MOBILE REGISTER (MORNING & SUNDAY)	28153	Wayne County	MS	180
100450	MONTGOMERY ADVERTISER	1001	Autauga County	AL	4379
100450	MONTGOMERY ADVERTISER	1005	Barbour County	AL	369
100450	MONTGOMERY ADVERTISER	1011	Bullock County	AL	384
100450	MONTGOMERY ADVERTISER	1013	Butler County	AL	883
100450	MONTGOMERY ADVERTISER	1021	Chilton County	AL	156
100450	MONTGOMERY ADVERTISER	1031	Coffee County	AL	253
100450	MONTGOMERY ADVERTISER	1035	Conecuh County	AL	138
100450	MONTGOMERY ADVERTISER	1039	Covington County	AL	431
100450	MONTGOMERY ADVERTISER	1041	Crenshaw County	AL	456
100450	MONTGOMERY ADVERTISER	1045	Dale County	AL	145
100450	MONTGOMERY ADVERTISER	1047	Dallas County	AL	1006
100450	MONTGOMERY ADVERTISER	1051	Elmore County	AL	5591
100450	MONTGOMERY ADVERTISER	1069	Houston County	AL	130
100450	MONTGOMERY ADVERTISER	1081	Lee County	AL	431
100450	MONTGOMERY ADVERTISER	1085	Lowndes County	AL	730
100450	MONTGOMERY ADVERTISER	1087	Macon County	AL	894
100450	MONTGOMERY ADVERTISER	1099	Monroe County	AL	84
100450	MONTGOMERY ADVERTISER	1101	Montgomery County	AL	30389
100450	MONTGOMERY ADVERTISER	1105	Perry County	AL	67
100450	MONTGOMERY ADVERTISER	1109	Pike County	AL	1082
100450	MONTGOMERY ADVERTISER	1123	Tallapoosa County	AL	524
100450	MONTGOMERY ADVERTISER	1131	Wilcox County	AL	251
100470	OPELIKA-AUBURN NEWS	1017	Chambers County	AL	1706
100470	OPELIKA-AUBURN NEWS	1081	Lee County	AL	11656
100470	OPELIKA-AUBURN NEWS	1087	Macon County	AL	486
100470	OPELIKA-AUBURN NEWS	1123	Tallapoosa County	AL	876
100550	THE TUSCALOOSA NEWS	1007	Bibb County	AL	744
100550	THE TUSCALOOSA NEWS	1057	Fayette County	AL	1239
100550	THE TUSCALOOSA NEWS	1063	Greene County	AL	1692
100550	THE TUSCALOOSA NEWS	1065	Hale County	AL	1550
100550	THE TUSCALOOSA NEWS	1073	Jefferson County	AL	62
100550	THE TUSCALOOSA NEWS	1075	Lamar County	AL	346
100550	THE TUSCALOOSA NEWS	1091	Marengo County	AL	762
100550	THE TUSCALOOSA NEWS	1093	Marion County	AL	92
100550	THE TUSCALOOSA NEWS	1105	Perry County	AL	178
100550	THE TUSCALOOSA NEWS	1107	Pickens County	AL	1924
100550	THE TUSCALOOSA NEWS	1119	Sumter County	AL	876
100550	THE TUSCALOOSA NEWS	1125	Tuscaloosa County	AL	24842
100565	ANCHORAGE DAILY NEWS	2016	Aleutians West Census Area	AK	72
100565	ANCHORAGE DAILY NEWS	2020	Anchorage Borough	AK	53785
100565	ANCHORAGE DAILY NEWS	2050	Bethel Census Area	AK	140
100565	ANCHORAGE DAILY NEWS	2070	Dillingham Census Area	AK	145
100565	ANCHORAGE DAILY NEWS	2090	Fairbanks North Star Borough	AK	540
100565	ANCHORAGE DAILY NEWS	2110	Juneau Borough	AK	427
100565	ANCHORAGE DAILY NEWS	2122	Kenai Peninsula Borough	AK	4553
100565	ANCHORAGE DAILY NEWS	2150	Kodiak Island Borough	AK	248
100565	ANCHORAGE DAILY NEWS	2170	Matanuska-Susitna Borough	AK	6253
100565	ANCHORAGE DAILY NEWS	2180	Nome Census Area	AK	206
100565	ANCHORAGE DAILY NEWS	2185	North Slope Borough	AK	600
100565	ANCHORAGE DAILY NEWS	2188	Northwest Arctic Borough	AK	152
100565	ANCHORAGE DAILY NEWS	2220	Sitka Borough	AK	143
100565	ANCHORAGE DAILY NEWS	2261	Valdez-Cordova Census Area	AK	803
100570	FAIRBANKS DAILY NEWS-MINER	2090	Fairbanks North Star Borough	AK	14283
100570	FAIRBANKS DAILY NEWS-MINER	2240	Southeast Fairbanks Census Area	AK	452
100570	FAIRBANKS DAILY NEWS-MINER	2290	Yukon-Koyukuk Census Area	AK	398
100580	ARIZONA DAILY SUN	4005	Coconino County	AZ	11300
100580	ARIZONA DAILY SUN	4017	Navajo County	AZ	69
100580	ARIZONA DAILY SUN	4025	Yavapai County	AZ	67
100585	MOHAVE VALLEY DAILY NEWS	4015	Mohave County	AZ	7388
100585	MOHAVE VALLEY DAILY NEWS	6071	San Bernardino County	CA	309
100585	MOHAVE VALLEY DAILY NEWS	32003	Clark County	NV	454
100610	CASA GRANDE DISPATCH	4021	Pinal County	AZ	8858
100630	EAST VALLEY TRIBUNE	4007	Gila County	AZ	384
100630	EAST VALLEY TRIBUNE	4013	Maricopa County	AZ	94780
100630	EAST VALLEY TRIBUNE	4021	Pinal County	AZ	8714
100650	THE ARIZONA REPUBLIC	4001	Apache County	AZ	1115
100650	THE ARIZONA REPUBLIC	4003	Cochise County	AZ	729
100650	THE ARIZONA REPUBLIC	4005	Coconino County	AZ	5890
100650	THE ARIZONA REPUBLIC	4007	Gila County	AZ	4063
100650	THE ARIZONA REPUBLIC	4009	Graham County	AZ	1044
100650	THE ARIZONA REPUBLIC	4011	Greenlee County	AZ	337
100650	THE ARIZONA REPUBLIC	4012	La Paz County	AZ	2915
100650	THE ARIZONA REPUBLIC	4013	Maricopa County	AZ	392533
100650	THE ARIZONA REPUBLIC	4015	Mohave County	AZ	6835
100650	THE ARIZONA REPUBLIC	4017	Navajo County	AZ	4598
100650	THE ARIZONA REPUBLIC	4019	Pima County	AZ	3159
100650	THE ARIZONA REPUBLIC	4021	Pinal County	AZ	14033
100650	THE ARIZONA REPUBLIC	4023	Santa Cruz County	AZ	448
100650	THE ARIZONA REPUBLIC	4025	Yavapai County	AZ	11540
100650	THE ARIZONA REPUBLIC	4027	Yuma County	AZ	3762
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4003	Cochise County	AZ	6073
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4009	Graham County	AZ	335
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4011	Greenlee County	AZ	101
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4017	Navajo County	AZ	105
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4019	Pima County	AZ	125559
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4021	Pinal County	AZ	2981
100750	ARIZONA DAILY STAR/TUCSON CITIZEN	4023	Santa Cruz County	AZ	1950
100751	ARIZONA DAILY STAR	4003	Cochise County	AZ	5511
100751	ARIZONA DAILY STAR	4007	Gila County	AZ	83
100751	ARIZONA DAILY STAR	4009	Graham County	AZ	335
100751	ARIZONA DAILY STAR	4011	Greenlee County	AZ	101
100751	ARIZONA DAILY STAR	4017	Navajo County	AZ	105
100751	ARIZONA DAILY STAR	4019	Pima County	AZ	95453
100751	ARIZONA DAILY STAR	4021	Pinal County	AZ	2742
100751	ARIZONA DAILY STAR	4023	Santa Cruz County	AZ	1950
100800	TUCSON CITIZEN	4003	Cochise County	AZ	562
100800	TUCSON CITIZEN	4019	Pima County	AZ	30106
100800	TUCSON CITIZEN	4021	Pinal County	AZ	239
100850	THE SUN	4027	Yuma County	AZ	19048
100850	THE SUN	6025	Imperial County	CA	383
100950	FT. SMITH SW TIMES RECORD	5033	Crawford County	AR	6740
100950	FT. SMITH SW TIMES RECORD	5047	Franklin County	AR	1659
100950	FT. SMITH SW TIMES RECORD	5071	Johnson County	AR	454
100950	FT. SMITH SW TIMES RECORD	5083	Logan County	AR	1810
100950	FT. SMITH SW TIMES RECORD	5113	Polk County	AR	318
100950	FT. SMITH SW TIMES RECORD	5127	Scott County	AR	841
100950	FT. SMITH SW TIMES RECORD	5131	Sebastian County	AR	19941
100950	FT. SMITH SW TIMES RECORD	40061	Haskell County	OK	285
100950	FT. SMITH SW TIMES RECORD	40079	Le Flore County	OK	2826
100950	FT. SMITH SW TIMES RECORD	40135	Sequoyah County	OK	2689
101010	HOT SPRINGS SENTINEL-RECORD	5019	Clark County	AR	102
101010	HOT SPRINGS SENTINEL-RECORD	5051	Garland County	AR	16369
101010	HOT SPRINGS SENTINEL-RECORD	5059	Hot Spring County	AR	895
101010	HOT SPRINGS SENTINEL-RECORD	5097	Montgomery County	AR	274
101010	HOT SPRINGS SENTINEL-RECORD	5109	Pike County	AR	106
101050	ARKANSAS DEMOCRAT GAZETTE	5001	Arkansas County	AR	1942
101050	ARKANSAS DEMOCRAT GAZETTE	5003	Ashley County	AR	1043
101050	ARKANSAS DEMOCRAT GAZETTE	5005	Baxter County	AR	925
101050	ARKANSAS DEMOCRAT GAZETTE	5007	Benton County	AR	15271
101050	ARKANSAS DEMOCRAT GAZETTE	5009	Boone County	AR	1138
101050	ARKANSAS DEMOCRAT GAZETTE	5011	Bradley County	AR	541
101050	ARKANSAS DEMOCRAT GAZETTE	5013	Calhoun County	AR	225
101050	ARKANSAS DEMOCRAT GAZETTE	5015	Carroll County	AR	1533
101050	ARKANSAS DEMOCRAT GAZETTE	5017	Chicot County	AR	558
101050	ARKANSAS DEMOCRAT GAZETTE	5019	Clark County	AR	1697
101050	ARKANSAS DEMOCRAT GAZETTE	5021	Clay County	AR	273
101050	ARKANSAS DEMOCRAT GAZETTE	5023	Cleburne County	AR	1798
101050	ARKANSAS DEMOCRAT GAZETTE	5025	Cleveland County	AR	356
101050	ARKANSAS DEMOCRAT GAZETTE	5027	Columbia County	AR	832
101050	ARKANSAS DEMOCRAT GAZETTE	5029	Conway County	AR	1308
101050	ARKANSAS DEMOCRAT GAZETTE	5031	Craighead County	AR	859
101050	ARKANSAS DEMOCRAT GAZETTE	5033	Crawford County	AR	519
101050	ARKANSAS DEMOCRAT GAZETTE	5035	Crittenden County	AR	515
101050	ARKANSAS DEMOCRAT GAZETTE	5037	Cross County	AR	424
101050	ARKANSAS DEMOCRAT GAZETTE	5039	Dallas County	AR	642
101050	ARKANSAS DEMOCRAT GAZETTE	5041	Desha County	AR	879
101050	ARKANSAS DEMOCRAT GAZETTE	5043	Drew County	AR	662
101050	ARKANSAS DEMOCRAT GAZETTE	5045	Faulkner County	AR	6692
101050	ARKANSAS DEMOCRAT GAZETTE	5047	Franklin County	AR	288
101050	ARKANSAS DEMOCRAT GAZETTE	5049	Fulton County	AR	249
101050	ARKANSAS DEMOCRAT GAZETTE	5051	Garland County	AR	6743
101050	ARKANSAS DEMOCRAT GAZETTE	5053	Grant County	AR	1233
101050	ARKANSAS DEMOCRAT GAZETTE	5055	Greene County	AR	345
101050	ARKANSAS DEMOCRAT GAZETTE	5057	Hempstead County	AR	550
101050	ARKANSAS DEMOCRAT GAZETTE	5059	Hot Spring County	AR	1645
101050	ARKANSAS DEMOCRAT GAZETTE	5061	Howard County	AR	572
101050	ARKANSAS DEMOCRAT GAZETTE	5063	Independence County	AR	1523
101050	ARKANSAS DEMOCRAT GAZETTE	5065	Izard County	AR	563
101050	ARKANSAS DEMOCRAT GAZETTE	5067	Jackson County	AR	926
101050	ARKANSAS DEMOCRAT GAZETTE	5069	Jefferson County	AR	4521
101050	ARKANSAS DEMOCRAT GAZETTE	5071	Johnson County	AR	742
101050	ARKANSAS DEMOCRAT GAZETTE	5073	Lafayette County	AR	168
101050	ARKANSAS DEMOCRAT GAZETTE	5075	Lawrence County	AR	148
101050	ARKANSAS DEMOCRAT GAZETTE	5077	Lee County	AR	256
101050	ARKANSAS DEMOCRAT GAZETTE	5079	Lincoln County	AR	358
101050	ARKANSAS DEMOCRAT GAZETTE	5081	Little River County	AR	328
101050	ARKANSAS DEMOCRAT GAZETTE	5083	Logan County	AR	414
101050	ARKANSAS DEMOCRAT GAZETTE	5085	Lonoke County	AR	5789
101050	ARKANSAS DEMOCRAT GAZETTE	5087	Madison County	AR	471
101050	ARKANSAS DEMOCRAT GAZETTE	5089	Marion County	AR	299
101050	ARKANSAS DEMOCRAT GAZETTE	5091	Miller County	AR	535
101050	ARKANSAS DEMOCRAT GAZETTE	5093	Mississippi County	AR	647
101050	ARKANSAS DEMOCRAT GAZETTE	5095	Monroe County	AR	696
101050	ARKANSAS DEMOCRAT GAZETTE	5097	Montgomery County	AR	249
101050	ARKANSAS DEMOCRAT GAZETTE	5099	Nevada County	AR	397
101050	ARKANSAS DEMOCRAT GAZETTE	5101	Newton County	AR	106
101050	ARKANSAS DEMOCRAT GAZETTE	5103	Ouachita County	AR	1221
101050	ARKANSAS DEMOCRAT GAZETTE	5105	Perry County	AR	775
101050	ARKANSAS DEMOCRAT GAZETTE	5107	Phillips County	AR	710
101050	ARKANSAS DEMOCRAT GAZETTE	5109	Pike County	AR	488
101050	ARKANSAS DEMOCRAT GAZETTE	5111	Poinsett County	AR	207
101050	ARKANSAS DEMOCRAT GAZETTE	5113	Polk County	AR	445
101050	ARKANSAS DEMOCRAT GAZETTE	5115	Pope County	AR	2692
101050	ARKANSAS DEMOCRAT GAZETTE	5117	Prairie County	AR	735
101050	ARKANSAS DEMOCRAT GAZETTE	5119	Pulaski County	AR	61843
101050	ARKANSAS DEMOCRAT GAZETTE	5121	Randolph County	AR	252
101050	ARKANSAS DEMOCRAT GAZETTE	5123	St. Francis County	AR	551
101050	ARKANSAS DEMOCRAT GAZETTE	5125	Saline County	AR	9348
101050	ARKANSAS DEMOCRAT GAZETTE	5127	Scott County	AR	126
101050	ARKANSAS DEMOCRAT GAZETTE	5129	Searcy County	AR	259
101050	ARKANSAS DEMOCRAT GAZETTE	5131	Sebastian County	AR	2000
101050	ARKANSAS DEMOCRAT GAZETTE	5133	Sevier County	AR	248
101050	ARKANSAS DEMOCRAT GAZETTE	5135	Sharp County	AR	692
101050	ARKANSAS DEMOCRAT GAZETTE	5137	Stone County	AR	374
101050	ARKANSAS DEMOCRAT GAZETTE	5139	Union County	AR	1381
101050	ARKANSAS DEMOCRAT GAZETTE	5141	Van Buren County	AR	1224
101050	ARKANSAS DEMOCRAT GAZETTE	5143	Washington County	AR	18473
101050	ARKANSAS DEMOCRAT GAZETTE	5145	White County	AR	5063
101050	ARKANSAS DEMOCRAT GAZETTE	5147	Woodruff County	AR	520
101050	ARKANSAS DEMOCRAT GAZETTE	5149	Yell County	AR	751
101050	ARKANSAS DEMOCRAT GAZETTE	40001	Adair County	OK	2
101050	ARKANSAS DEMOCRAT GAZETTE	40041	Delaware County	OK	1
101050	ARKANSAS DEMOCRAT GAZETTE	48037	Bowie County	TX	245
101110	JONESBORO SUN	5021	Clay County	AR	431
101110	JONESBORO SUN	5031	Craighead County	AR	13759
101110	JONESBORO SUN	5037	Cross County	AR	458
101110	JONESBORO SUN	5055	Greene County	AR	1680
101110	JONESBORO SUN	5067	Jackson County	AR	494
101110	JONESBORO SUN	5075	Lawrence County	AR	1308
101110	JONESBORO SUN	5093	Mississippi County	AR	1038
101110	JONESBORO SUN	5111	Poinsett County	AR	2499
101110	JONESBORO SUN	5121	Randolph County	AR	973
101110	JONESBORO SUN	5135	Sharp County	AR	462
101120	EL DORADO NEWS-TIMES/SOUTH AR SUNDAY NEW	5013	Calhoun County	AR	84
101120	EL DORADO NEWS-TIMES/SOUTH AR SUNDAY NEW	5027	Columbia County	AR	47
101120	EL DORADO NEWS-TIMES/SOUTH AR SUNDAY NEW	5103	Ouachita County	AR	91
101120	EL DORADO NEWS-TIMES/SOUTH AR SUNDAY NEW	5139	Union County	AR	9117
101120	EL DORADO NEWS-TIMES/SOUTH AR SUNDAY NEW	22111	Union Parish	LA	119
101125	THE BAXTER BULLETIN	5005	Baxter County	AR	9522
101125	THE BAXTER BULLETIN	5049	Fulton County	AR	182
101125	THE BAXTER BULLETIN	5065	Izard County	AR	159
101125	THE BAXTER BULLETIN	5089	Marion County	AR	985
101125	THE BAXTER BULLETIN	29153	Ozark County	MO	103
101150	PINE BLUFF COMMERCIAL	5011	Bradley County	AR	558
101150	PINE BLUFF COMMERCIAL	5025	Cleveland County	AR	759
101150	PINE BLUFF COMMERCIAL	5041	Desha County	AR	820
101150	PINE BLUFF COMMERCIAL	5043	Drew County	AR	817
101150	PINE BLUFF COMMERCIAL	5053	Grant County	AR	336
101150	PINE BLUFF COMMERCIAL	5069	Jefferson County	AR	14383
101150	PINE BLUFF COMMERCIAL	5079	Lincoln County	AR	876
101230	THE MORNING NEWS	5007	Benton County	AR	17343
101230	THE MORNING NEWS	5015	Carroll County	AR	905
101230	THE MORNING NEWS	5087	Madison County	AR	626
101230	THE MORNING NEWS	5143	Washington County	AR	16529
101230	THE MORNING NEWS	29119	McDonald County	MO	260
101230	THE MORNING NEWS	40001	Adair County	OK	112
101240	WEST MEMPHIS EVENING TIMES	5035	Crittenden County	AR	6967
101240	WEST MEMPHIS EVENING TIMES	5123	St. Francis County	AR	159
101330	AUBURN JOURNAL	6017	El Dorado County	CA	447
101330	AUBURN JOURNAL	6057	Nevada County	CA	427
101330	AUBURN JOURNAL	6061	Placer County	CA	10761
101350	THE BAKERSFIELD CALIFORNIAN	6029	Kern County	CA	62237
101350	THE BAKERSFIELD CALIFORNIAN	6107	Tulare County	CA	381
101400	DESERT DISPATCH	6071	San Bernardino County	CA	4813
101500	ENTERPRISE-RECORD	6007	Butte County	CA	30169
101500	ENTERPRISE-RECORD	6021	Glenn County	CA	2479
101500	ENTERPRISE-RECORD	6103	Tehama County	CA	846
101530	THE DAILY TRIPLICATE	6015	Del Norte County	CA	4522
101530	THE DAILY TRIPLICATE	41015	Curry County	OR	98
101550	THE DAVIS ENTERPRISE	6095	Solano County	CA	128
101550	THE DAVIS ENTERPRISE	6113	Yolo County	CA	9929
101670	IMPERIAL VALLEY PRESS	6025	Imperial County	CA	13705
101700	NORTH COUNTY TIMES	6065	Riverside County	CA	20157
101700	NORTH COUNTY TIMES	6073	San Diego County	CA	73051
101750	TIMES-STANDARD	6015	Del Norte County	CA	530
101750	TIMES-STANDARD	6023	Humboldt County	CA	18458
101750	TIMES-STANDARD	6105	Trinity County	CA	131
101770	FAIRFIELD DAILY REPUBLIC	6095	Solano County	CA	19102
101780	FREMONT ARGUS	6001	Alameda County	CA	32622
101800	THE FRESNO BEE	6019	Fresno County	CA	125005
101800	THE FRESNO BEE	6029	Kern County	CA	270
101800	THE FRESNO BEE	6031	Kings County	CA	6660
101800	THE FRESNO BEE	6039	Madera County	CA	11540
101800	THE FRESNO BEE	6043	Mariposa County	CA	1027
101800	THE FRESNO BEE	6047	Merced County	CA	1699
101800	THE FRESNO BEE	6079	San Luis Obispo County	CA	549
101800	THE FRESNO BEE	6107	Tulare County	CA	16607
101900	GILROY DISPATCH	6085	Santa Clara County	CA	4185
